name,value,mySubCategoryFlg
女莫代尔内裤,50028610,0
男卡通内裤,50028005,0
男莫代尔内裤,50028971,0
情侣内裤,50032206,0
女收腹裤,50096772,0
女无痕内裤,50074341,0
女卡通内裤,50074258,0
女内裤,52472001,0
男内裤,52474001,0
女士睡衣,51732001,0
棉质睡衣,50074541,0
男士睡衣,51734001,0
睡衣套装,50026965,0
所有睡衣/家居服,51740001,0
珊瑚绒睡衣,50540035,0
情侣睡衣,50026969,0
睡裙/家居裙,50028801,0
睡袍/浴袍,50026861,0
夹棉睡衣,50348023,0
男睡衣/家居服套装,50074527,0
真丝睡衣,50106016,0
莫代尔睡衣套装,50106015,0
睡裤/家居裤,50026846,0
摇粒绒睡衣,50350019,0
睡衣上装,50026845,0
女式保暖内衣,50096682,0
保暖套装,50029602,0
棉质内衣套装,50096684,0
男士保暖内衣,50096699,0
保暖裤,50026903,0
所有保暖内衣,51736002,0
吊带/背心/T恤,50962013,0
莫代尔内衣套装,50096687,0
保暖上衣,50049233,0
情侣保暖内衣,50032208,0
莱卡内衣套装,50096685,0
保暖背心,50096710,0
羊绒裤,50096709,0
羊毛裤,50096708,0
无缝美体内衣,50096694,0
羽绒保暖,50096711,0
保暖开衫,50096712,0
女袜,51736001,0
丝袜,50096752,0
男袜,50074529,0
所有袜子,51738003,0
连裤袜,50026939,0
棉袜,50026998,0
中筒袜,50026941,0
短袜,50026942,0
船袜,50028804,0
脚踩袜,50026944,0
九分打底裤袜,50026945,0
高筒袜,50026940,0
糖果袜,50096758,0
情侣袜,51738001,0
袜套,50026948,0
七分/五分裤袜,50026946,0
所有塑身内衣,51738002,0
塑身连体衣,50026868,0
塑身裤,50026865,0
塑身分体套装,50026867,0
塑身腰封/腰夹,50026866,0
长款塑身衣,50026870,0
中款塑身衣,50026869,0
短款塑身衣,50026864,0
抹胸,50026950,0
肚兜,50026951,0
肩带,50026956,0
胸贴/乳贴,50026957,0
吊袜带,50026960,0
插片,50026958,0
延长扣,50026959,0
防滑扣,50043450,0
服饰配件/皮带/帽子/围巾,50010404,1
女士雪纺围巾,51972002,0
女士棉麻围巾,51950002,0
女士披肩,52008001,0
所有女士围巾,51926004,0
韩版围巾,52002002,0
女士长方形围巾,51930005,0
女士假领,51920005,0
女士真丝围巾,51910002,0
所有男士围巾,52012001,0
男士格子围巾,52010001,0
纯色围巾,51924005,0
女士毛线围巾,52002001,0
女士大方巾,52004001,0
男士毛线围巾,51960005,0
西装领巾,51942003,0
女士三角巾,52006001,0
男士拼色围巾,51910003,0
男士牛皮皮带,52012002,0
所有男士腰带,51924006,0
简约百搭,51988002,0
所有女士腰带,52022001,0
男士自动扣皮带,52026001,0
男士针扣皮带,52024001,0
男士光面皮带,51940008,0
女士牛皮腰带,51972003,0
商务正装,51942005,0
男士平滑扣皮带,51920006,0
女士针扣腰带,52016001,0
男士帆布腰带,51942006,0
女士腰封,52020001,0
女士PU腰带,52010002,0
女士宽版腰带,51940007,0
女士细款腰带,52014001,0
女士编织腰带,51942004,0
女士腰链,52018001,0
女士毛线帽,51968002,0
所有女士帽子,51946003,0
女士棒球帽,51998002,0
所有男士帽子,51948003,0
嘻哈帽,51942007,0
男士棒球帽,52014002,0
自然休闲,51972004,0
甜美可爱,51940009,0
女士礼帽,51910004,0
男士毛线帽,52002003,0
女士鸭舌帽,51916006,0
男士平顶帽,51940010,0
女士盆帽,51988003,0
男士鸭舌帽,52002004,0
女士平顶帽,51950003,0
男士包头帽,52030001,0
PU帽,51998003,0
女士马术帽,52028001,0
女士毛线手套,52032001,0
女士羊皮手套,51948004,0
男士羊皮手套,52034001,0
所有女士手套,51942008,0
男士半指手套,51982002,0
所有男士手套,52022002,0
女士分指手套,51968003,0
女士半指手套,51924007,0
男士分指手套,52036001,0
女士连指手套,52016002,0
男士毛线手套,51960006,0
男士连指手套,52024002,0
粗毛线,52016003,0
所有毛线,52038001,0
羊绒线,52028002,0
貂绒线,52018002,0
中细毛线,52030002,0
细毛线,52020002,0
羊毛线,51988004,0
马海毛,51998004,0
领带,51936001,0
婚纱礼服配件,164206,0
品质手帕,50538038,0
耳套,50338021,0
围巾/手套/帽子套件,50534047,0
领结,51938001,0
运动颈环/手环/指环,51940001,0
袖扣,50096152,0
布面料,51936002,0
鞋包/皮带配件,50010406,0
其他配件,50532037,0
领带夹,50096153,0
运动鞋,50010388,1
运动服/休闲服,50016756,1
运动套装,50066884,0
冲锋衣裤套装,50442014,0
健身纤体服装,50424016,0
球服/专业服装,50446015,0
速干套装,50454017,0
抓绒套装,50448014,0
羽绒套装,50446018,0
滑雪套装,50436017,0
运动卫衣,50029216,0
运动茄克,50041697,0
运动风衣,50016781,0
运动棉衣,50041694,0
运动羽绒服,50041673,0
T恤,50414025,0
运动马甲,50434013,0
冲锋衣,50450011,0
运动polo衫,50066601,0
抓绒衣,50442022,0
皮肤风衣,50444021,0
运动抓绒卫衣,50070868,0
休闲运动背心,50071203,0
运动毛衣,50033820,0
羽绒裤,50430033,0
运动裤,50432055,0
运动长裤,50071140,0
运动中长裤/短裤,50066647,0
运动卫裤/休闲裤,50066954,0
冲锋裤,50432012,0
工装裤,50448015,0
户外棉裤,50448016,0
